"Fap","diplome","Annee","Pourcentage"
"J1Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.231375012862328
"J1Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.71157012783523
"J1Z","En cours d'études initiales","1982-1984",0.00728540018426884
"J3Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.00293435185549672
"J3Z","Bac + 2","1982-1984",0.00661553024791007
"J3Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0260863409656023
"J3Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.248486412719584
"J3Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.713459683170256
"J3Z","En cours d'études initiales","1982-1984",0.00241768104115101
"J4Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0184613097373218
"J4Z","Bac + 2","1982-1984",0.0299806969024396
"J4Z","Bac, brevet professionnel ou équivalent","1982-1984",0.122376967083519
"J4Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.291668080150955
"J4Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.53536648913304
"J4Z","En cours d'études initiales","1982-1984",0.00214645699272459
"J5Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0578673694811794
"J5Z","Bac + 2","1982-1984",0.0869184418962096
"J5Z","Bac, brevet professionnel ou équivalent","1982-1984",0.205829230554878
"J5Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.16593943600525
"J5Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.475394848619269
"J5Z","En cours d'études initiales","1982-1984",0.00805067344321454
"J6Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.269264025692993
"J6Z","Bac + 2","1982-1984",0.0797596368232856
"J6Z","Bac, brevet professionnel ou équivalent","1982-1984",0.268657977645654
"J6Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.0529204814906414
"J6Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.325783388416786
"J6Z","En cours d'études initiales","1982-1984",0.00361448993064087
"K0Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0116724169600109
"K0Z","Bac + 2","1982-1984",0.0167402950141634
"K0Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0529084328142683
"K0Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.225587980316419
"K0Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.64688809134668
"K0Z","En cours d'études initiales","1982-1984",0.0462027835484588
"L0Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.016808974378029
"L0Z","Bac + 2","1982-1984",0.0578685394087304
"L0Z","Bac, brevet professionnel ou équivalent","1982-1984",0.199509656313541
"L0Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.393069029453808
"L0Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.324332060103817
"L0Z","En cours d'études initiales","1982-1984",0.00841174034207465
"L1Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0212150490121756
"L1Z","Bac + 2","1982-1984",0.0432882552252908
"L1Z","Bac, brevet professionnel ou équivalent","1982-1984",0.213512867397129
"L1Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.424354290790556
"L1Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.287956115801431
"L1Z","En cours d'études initiales","1982-1984",0.00967342177341707
"L2Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0136813121116962
"L2Z","Bac + 2","1982-1984",0.0323602941623733
"L2Z","Bac, brevet professionnel ou équivalent","1982-1984",0.140411528813272
"L2Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.317463346592242
"L2Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.483291333525742
"L2Z","En cours d'études initiales","1982-1984",0.0127921847946746
