Fap3;type_sortie;Pourcentage
T1Z;Fins de période d'essai  ;1.86
T1Z;Fins de CDD              ;89.24
T1Z;Départs en retraite      ;0.37
T1Z;Démissions               ;5.93
T1Z;Autres sorties           ;1.1
T2A;Ruptures conventionnelles;1.58
T2A;Licenciements            ;4.58
T2A;Fins de période d'essai  ;2.74
T2A;Fins de CDD              ;78.34
T2A;Départs en retraite      ;1.66
T2A;Démissions               ;9.86
T2A;Autres sorties           ;1.24
T2B;Ruptures conventionnelles;1.44
T2B;Licenciements            ;3.22
T2B;Fins de période d'essai  ;3.14
T2B;Fins de CDD              ;68.22
T2B;Départs en retraite      ;2.71
T2B;Démissions               ;19.37
T2B;Autres sorties           ;1.9
T3Z;Ruptures conventionnelles;1.38
T3Z;Licenciements            ;5.4
T3Z;Fins de période d'essai  ;5.34
T3Z;Fins de CDD              ;77.42
T3Z;Départs en retraite      ;1.6
T3Z;Démissions               ;5.78
T3Z;Autres sorties           ;3.08
T4Z;Ruptures conventionnelles;0.38
T4Z;Licenciements            ;2.6
T4Z;Fins de période d'essai  ;0.9
T4Z;Fins de CDD              ;89.48
T4Z;Départs en retraite      ;0.81
T4Z;Démissions               ;3.49
T4Z;Autres sorties           ;2.33
T6Z;Ruptures conventionnelles;1.36
T6Z;Licenciements            ;1.86
T6Z;Fins de période d'essai  ;2.41
T6Z;Fins de CDD              ;86.42
T6Z;Départs en retraite      ;0.78
T6Z;Démissions               ;5.55
T6Z;Autres sorties           ;1.62
U0Z;Ruptures conventionnelles;4.63
U0Z;Licenciements            ;4.65
U0Z;Fins de période d'essai  ;1.91
U0Z;Fins de CDD              ;77.64
U0Z;Départs en retraite      ;1.37
U0Z;Démissions               ;8.12
U0Z;Autres sorties           ;1.68
U1Z;Ruptures conventionnelles;0.14
U1Z;Licenciements            ;0.08
U1Z;Fins de période d'essai  ;0.04
U1Z;Fins de CDD              ;99.35
U1Z;Départs en retraite      ;0.04
U1Z;Démissions               ;0.26
U1Z;Autres sorties           ;0.09
V0Z;Ruptures conventionnelles;0.29
V0Z;Licenciements            ;0.6
V0Z;Fins de période d'essai  ;0.45
V0Z;Fins de CDD              ;95.74
V0Z;Départs en retraite      ;0.34
V0Z;Démissions               ;2.16
V0Z;Autres sorties           ;0.42
V1Z;Ruptures conventionnelles;0.26
V1Z;Licenciements            ;0.46
V1Z;Fins de période d'essai  ;0.53
V1Z;Fins de CDD              ;94.03
V1Z;Départs en retraite      ;0.6
V1Z;Démissions               ;3.74
V1Z;Autres sorties           ;0.37
V2Z;Ruptures conventionnelles;1.63
V2Z;Licenciements            ;1.3
V2Z;Fins de période d'essai  ;1.38
V2Z;Fins de CDD              ;78.64
V2Z;Départs en retraite      ;3.74
V2Z;Démissions               ;11.15
V2Z;Autres sorties           ;2.16
V3Z;Ruptures conventionnelles;2.39
V3Z;Licenciements            ;3.06
V3Z;Fins de période d'essai  ;3.02
V3Z;Fins de CDD              ;69.46
V3Z;Départs en retraite      ;2.83
